movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0043643,His Kind of Woman,1951,Approved,120 min,"Action, Crime, Film-Noir",7.0,"A deported gangster's plan to re-enter the USA involves skulduggery at a Mexican resort, and gambler Dan Milner is caught in the middle.","John Farrow, 
Richard Fleischer",/name/nm0268513/,"Robert Mitchum, 
Jane Russell, 
Vincent Price, 
Tim Holt","/name/nm0281507/,/name/nm0000053/,/name/nm0000066/,/name/nm0001637/,/name/nm0392529/",4556.0,
tt0040740,Road House,1948,Passed,95 min,"Action, Drama, Film-Noir",7.2,A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.,Jean Negulesco,/name/nm0624535/,"Ida Lupino, 
Cornel Wilde, 
Celeste Holm, 
Richard Widmark","/name/nm0526946/,/name/nm0664273/,/name/nm0002141/,/name/nm0001847/",2879.0,
tt0044040,Sirocco,1951,Passed,98 min,"Action, Drama, Film-Noir",6.2,A cynical American expatriate gets involved in smuggling and gun-running for the rebels during the 1925 Syrian insurgency against French occupation.,Curtis Bernhardt,/name/nm0076779/,"Humphrey Bogart, 
Lee J. Cobb, 
Märta Torén, 
Everett Sloane","/name/nm0000007/,/name/nm0002011/,/name/nm0869084/,/name/nm0806041/",2348.0,
tt0043912,Peking Express,1951,Not Rated,95 min,"Action, Drama, Film-Noir",5.8,A group of refugees fleeing Chinese Communist rule via train are beset by a gang of terrifying outlaws.,William Dieterle,/name/nm0226189/,"Joseph Cotten, 
Corinne Calvet, 
Edmund Gwenn, 
Marvin Miller","/name/nm0001072/,/name/nm0130794/,/name/nm0350324/,/name/nm0588922/",124.0,2398000.0
tt0046891,Dangerous Mission,1954,Approved,75 min,"Action, Crime, Film-Noir",5.7,"A policeman tries to protect a young woman against a hit man, when she flees New York after witnessing a mob killing.",Louis King,/name/nm0003422/,"Victor Mature, 
Piper Laurie, 
William Bendix, 
Vincent Price","/name/nm0001514/,/name/nm0001453/,/name/nm0000904/,/name/nm0001637/",806.0,
tt0037089,Moss Rose,1947,Approved,82 min,"Action, Crime, Film-Noir",6.7,"Set in turn-of-the-century London, a woman trying to solve the mystery of a friend's murder finds that she may be the next victim.",Gregory Ratoff,/name/nm0711855/,"Peggy Cummins, 
Victor Mature, 
Ethel Barrymore, 
Vincent Price","/name/nm0192033/,/name/nm0001514/,/name/nm0000856/,/name/nm0001637/",498.0,
tt0036255,The Pay Off,1942,Passed,74 min,"Action, Crime, Film-Noir",5.6,"The city's District Attorney is murdered, and a newspaper reporter investigates. He starts finding out that everything wasn't quite as cut and dried as it appeared to be.",Arthur Dreifuss,/name/nm0237424/,"Lee Tracy, 
Tom Brown, 
Tina Thayer, 
Evelyn Brent","/name/nm0870543/,/name/nm0114805/,/name/nm0857231/,/name/nm0107574/",245.0,
tt0039194,Blackmail,1947,Passed,67 min,"Action, Crime, Film-Noir",5.6,"A private detective is approached by a wealthy entertainment executive to stop a blackmail scheme against him. Although he hasn't decided to take the job, the blackmailers believe that he already has, and he is marked for murder.",Lesley Selander,/name/nm0782947/,"William Marshall, 
Adele Mara, 
Ricardo Cortez, 
Grant Withers","/name/nm0550777/,/name/nm0544711/,/name/nm0007220/,/name/nm0936728/",255.0,
