movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt3127824,Tesla,VI,,,"Action, Adventure, Biography",,"A unique factual depiction of Nikola Tesla's life from his early adulthood to his eventual arrival to America in 1886, examining his relationships and interactions with some of history's ...                See full summary »",Justin Gullett,/name/nm2642184/,"Jim Meskimen, 
Gia Skova, 
Dan van Husen, 
Sanja Petrovic","/name/nm0002350/,/name/nm4341268/,/name/nm0004571/,/name/nm4353013/",,
tt3856974,David,I,,,"Action, Adventure, Biography",,A retelling of the biblical story of David versus Goliath.,,,,,,
tt0026221,Clive of India,1935,Approved,94 min,"Action, Adventure, Biography",6.2,"In the mid-1700's the East India Company has power over commerce on the sub-continent, with the blessings of the British government. A clerk in the company, Robert Clive, is frustrated by ...                See full summary »",Richard Boleslawski,/name/nm0092915/,"Ronald Colman, 
Loretta Young, 
Colin Clive, 
Francis Lister","/name/nm0172903/,/name/nm0949835/,/name/nm0166972/,/name/nm0514250/",424.0,
tt11189056,George Reddy,2019,Not Rated,153 min,"Action, Biography",6.9,"George Reddy is a biopic based on the life of a student leader, boxer and Gold medalist, who influenced the politics of Andhra Pradesh state in Osmania University between 1967 and 1972. He ...                See full summary »",B. Jeevan Reddy,/name/nm9664965/,"Sandeep Madhav, 
Satyadev Kancharana, 
Pawon Ramesh, 
Manoj Nandam","/name/nm8675858/,/name/nm8488982/,/name/nm8797521/,/name/nm8444826/",854.0,
tt8509342,27 Guns,2018,,,"Action, Adventure, Biography",7.3,27 Guns is a biopic based on true events of Uganda's liberation struggle. It tells the story of a young man and his unlikely group of young idealists who leave all to fight for salvation of...                See full summary »,Natasha Museveni Karugire,/name/nm9885059/,"Arnold Mubangizi, 
Diana Museveni Kamuntu, 
Sezi Jedidiah Nuwewenka, 
Godwin Ahimbisibwe","/name/nm9885060/,/name/nm9885061/,/name/nm9885062/,/name/nm9885064/",22.0,
tt0188799,Kyokuskin kenka karate burai ken,1975,,87 min,"Action, Adventure, Biography",6.6,"This movie is based on the true life story of a Korean fighter named Choi Bae-dal (who later changed his name to Masutatsu Oyama), the founder of Kyokushin Karate in Japan.",Kazuhiko Yamaguchi,/name/nm0945324/,"Shin'ichi Chiba, 
Jun Fujimaki, 
Eiji Gô, 
Masashi Ishibashi","/name/nm0002002/,/name/nm0297754/,/name/nm0323530/,/name/nm0410898/",316.0,
tt1576458,San Martín: El cruce de Los Andes,2010,,90 min,"Action, Adventure, Biography",6.9,"The story follows a 15-year-old Manuel Corvalán, who decides to leave his upper-class family and be disinherited by his father to join the newly formed Army of the Andes, commanded by the General José de San Martín.",Leandro Ipiña,/name/nm1385560/,"Rodrigo de la Serna, 
Alireza Abbas Beygi, 
Víctor Hugo Carrizo, 
Alfredo Castellani","/name/nm0209404/,/name/nm13641592/,/name/nm1161992/,/name/nm2265826/",568.0,
tt1156512,King Conqueror,2009,,,"Action, Adventure, Biography",7.0,"The life and battles of James I, King of Aragon (a.k.a. King Conqueror), the most renowned of the Spanish medieval kings of Aragon (1213-1276), who added the Kingdom of Valencia, the ...                See full summary »",José Antonio Escrivá,/name/nm0260470/,"Tim Roth, 
Juan Diego Botto, 
Thomas Kretschmann, 
Enrique Arce","/name/nm0000619/,/name/nm0098709/,/name/nm0470981/,/name/nm0033550/",88.0,
tt14888342,Dakuaan Da Munda 2,2022,,141 min,"Action, Adventure, Biography",5.7,"An autobiography of the famous writer and teacher 'Manga Singh Antal', a young Kabaddi and Volleyball player Manga became a drug addict which introduced him to crime.","Mandeep Benipal, 
Kk Taharpuriya",/name/nm4030793/,"Dev Kharoud, 
Japji Khaira, 
Raj Singh Jhinjar, 
Balwinder Bullet","/name/nm14048405/,/name/nm4349094/,/name/nm3762697/,/name/nm5568493/,/name/nm9957529/",163.0,
tt1756537,Gore,2009,,120 min,"Action, Adventure, Biography",3.4,"A group of teenagers decide to embark on a road trip to Metzburgh. A small town in search of the legendary house of Gore, a cannibalistic deformed killer last known whereabouts. Days later ...                See full summary »","Adam R. Steigert, 
Stephanie Wlosinski",/name/nm4050406/,"Michael O'Hear, 
Stephanie Wlosinski, 
John Renna, 
Kyle Andrews","/name/nm4137391/,/name/nm2430531/,/name/nm4137391/,/name/nm3263829/,/name/nm4040854/",42.0,
tt0097818,Malarek,1988,R,100 min,"Action, Biography",6.0,"Based on Victor Malarek's best-selling autobiography, this is the true story of a streetwise kid who emerges from a violent and unjust background to become one of journalism's top reporters.",Roger Cardinal,/name/nm0003229/,"Elias Koteas, 
Kerrie Keane, 
Al Waxman, 
Daniel Pilon","/name/nm0000480/,/name/nm0443871/,/name/nm0915382/,/name/nm0683600/",179.0,
tt0051903,Manhunt in the Jungle,1958,Approved,79 min,"Action, Adventure, Biography",6.3,"Adventurer George M. Dyatt is sent to find a fellow adventurer, Colonel Percy Fawcett, who went missing in the Amazon jungle in 1925 while searching for the lost city of Z (changed to El Dorado in the movie). Based on true events.",Tom McGowan,/name/nm0569710/,"Robin Hughes, 
Luis Álvarez, 
James Wilson, 
Jorge Montoro","/name/nm0400902/,/name/nm0959500/,/name/nm0933550/,/name/nm0600166/",80.0,
tt9645472,Bato: The Gen. Ronald Dela Rosa Story,2019,,90 min,"Action, Biography",2.5,Add a Plot,Adolfo Alix Jr.,/name/nm0019723/,"Robin Padilla, 
Beauty Gonzalez, 
Gina Alajar, 
Archie Alemania","/name/nm1107053/,/name/nm2965538/,/name/nm0015846/,/name/nm1832026/",27.0,
tt2604160,Broken Chains,2017,R,,"Action, Adventure, Biography",8.7,Brianna married a man she thought would protect her forever. But soon discovers Vincenzo has a dark secret and an evil family with connections controlling his narcissistic sociopathic traits and will go to any lengths to keep the secret controlled and hidden.,Shannon Brown,/name/nm4574737/,"Denise Reed, 
Shannon Brown, 
Mark Vincent, 
Michael Elian","/name/nm5163411/,/name/nm4574737/,/name/nm0898705/,/name/nm1510424/",15.0,
tt14824880,Joachim and the Apocalypse,,,,"Action, Adventure, Biography",,What drives a man to leave everything behind and take up a monastic life?,Jordan River,/name/nm4818490/,"Bill Hutchens, 
Elisabetta Pellini, 
Nikolay Moss, 
Costantino Comito","/name/nm3165596/,/name/nm0671211/,/name/nm5231770/,/name/nm3665297/",,
tt3177704,Bheema Theeradalli,2012,,147 min,"Action, Biography",5.7,"Based on a real-life incident that occurred in 1985 in North Karnataka during the time of the dreaded dacoit, Chandappa Harijana.",Om Prakash Rao,/name/nm5674731/,"Duniya Vijay, 
Pranitha, 
Suchendra Prasad, 
Sharath Lohitashwa","/name/nm5862375/,/name/nm3912256/,/name/nm5561908/,/name/nm5701208/",29.0,
tt0100558,Schweitzer,1990,PG,92 min,"Action, Adventure, Biography",6.9,"The story of Dr. Albert Schweitzer, his adventurous life and trials in the jungles of Africa.",Gray Hofmeyr,/name/nm0389415/,"Malcolm McDowell, 
Susan Strasberg, 
C. Andrew Davis, 
Patrick Shai","/name/nm0000532/,/name/nm0001782/,/name/nm0204302/,/name/nm0787570/",77.0,
tt0463502,Eddie Tagalog: Pulis Makati,1992,,,"Action, Biography",,Add a Plot,Dante Javier,/name/nm0419495/,"Jestoni Alarcon, 
Sheryl Cruz, 
Rina Reyes, 
Johnny Delgado","/name/nm1243950/,/name/nm1256860/,/name/nm0721402/,/name/nm0216975/",,
tt5951704,Dharam Yudh Morcha,2016,,122 min,"Action, Biography",7.0,"During a family visit, a devout man tells his grandson about significant events from the history of Sikhs in India.",Naresh s Garg,/name/nm7487667/,"Sunny Gill Ambersariya, 
Karamjit Singh Batth, 
Amritpal Billa, 
Victor John","/name/nm5258595/,/name/nm8349411/,/name/nm5700532/,/name/nm4216405/",93.0,
tt2403459,Untitled Ian Fleming Biopic,,,,"Action, Biography",,A look at the life of author Ian Fleming and its parallels with the adventures of James Bond.,,,,,,
tt6281724,Zaloglu Rüstem,1973,,87 min,"Action, Adventure, Biography",4.7,"Zaloglu Rüstem's fight against Raspotin, who kidnapped his son.",Natuk Baytan,/name/nm0047971/,"Yildiray Çinar, 
Meral Orhonsay, 
Reha Yurdakul, 
Atilla Ergün","/name/nm1588893/,/name/nm0649803/,/name/nm0951019/,/name/nm0258899/",13.0,
tt3455960,Untitled Daniel Warn Project,,,,"Action, Adventure, Biography",,"When Ernest Shackleton is given the ship Endurance to reclaim the record for the furthest south expedition, his journey is cut short when his ship becomes trapped in the ice pack and begins...                See full summary »",Randell Seymour,/name/nm5653743/,,,,
tt3894998,"Col. Billy Bibit, RAM",1994,,,"Action, Adventure, Biography",8.2,The film tells the life of Colonel Billy Bibit from his days as a cadet to his exploits as a young officer and one of the heroes of the Philippine Revolution of 1986.,William Mayo,/name/nm0562925/,"Rommel Padilla, 
Daniel Fernando, 
Paquito Diaz, 
Efren Reyes Jr.","/name/nm1190583/,/name/nm0273075/,/name/nm0246703/,/name/nm1202543/",43.0,
tt0447988,Goodnite Charlie,2005,,119 min,"Action, Biography",8.0,"A family is torn apart when their ""good"" boy Charlie decides to turn bad. He is arrested and given a bail of $500,000. Only one relative, martial arts instructor and psychologist, Uncle ...                See full summary »","Kenya Cagle, 
Gail Rorant",/name/nm0128540/,"Mary Sarah Agliotta, 
Ahmed Salaam Azziz, 
Darnell Bell, 
Ellen Bodkins","/name/nm1836990/,/name/nm1836795/,/name/nm1886471/,/name/nm1876018/,/name/nm1887089/",96.0,
tt2287140,Kufferten,2012,,96 min,"Action, Adventure, Biography",4.3,"The suitcase is a film dealing with themes as love, war and trust. In the 1940s war-torn Denmark, the young girl Marie turns 10 years old. It is celebrated in the parents' bakery shop where...                See full summary »",Charlotte Madsen,/name/nm4111585/,"Helena Quist Kristensen, 
Aske Svane Qvist, 
Michael Asmussen, 
Therese Glahn","/name/nm4007385/,/name/nm5170730/,/name/nm0039575/,/name/nm0321692/",45.0,
tt0347777,Ping Lacson: Super Cop,2000,,100 min,"Action, Biography",4.5,Add a Plot,Toto Natividad,/name/nm0622350/,"Rudy Fernandez, 
Lorna Tolentino, 
Herbert Bautista, 
Ricky Davao","/name/nm0273049/,/name/nm0865994/,/name/nm1052132/,/name/nm0202516/",11.0,
tt15391490,BLAS de LEZO,,,,"Action, Adventure, Biography",,Add a Plot,"Sophie Dupont, 
Frank Mora",/name/nm11555986/,Karlos Granada,"/name/nm1452682/,/name/nm8652775/",,
tt3840510,Rebirth the Cost of Freedom,,,120 min,"Action, Adventure, Biography",,"A womanizing artist finds love that changes his life, only to risk it all In a fight for freedom against religious terrorism and political tyranny that alters the fate of nations. Based on a provocative true story.",Ben Verbong,/name/nm0893676/,,,,
tt0401562,Kumander Alibasbas,1981,,,"Action, Biography",,Add a Plot,Augusto Buenaventura,/name/nm1044927/,"Joseph Estrada, 
Perla Bautista, 
Suzette Ranillo, 
Paquito Diaz","/name/nm0261825/,/name/nm0062540/,/name/nm0710191/,/name/nm0246703/",,
tt1472455,Double Fault,I,,,"Action, Adventure, Biography",,"A True Story: Nick Halladay was one of the biggest bank robbers in the 70's, that made his outlandish getaways on his motorbike.",Max Ryan,/name/nm1043075/,,,,
tt3746354,The Widow Ching,,,,"Action, Adventure, Biography",,"The story of Ching Shih, a prostitute turned pirate in 18th century China, who rose from humble beginnings to become the feared Pirate Queen.",,,,,,
tt4534480,Carolina Ace,,,,"Animation, Action, Biography",,"The story of America's greatest P-51 Mustang ace, who was well on his way to becoming one of the greatest fighter pilot aces in world history when he was tragically killed by a friendly fire incident on Christmas Day of 1944.",Shawn Lovette,/name/nm1953226/,Brian Nagel,/name/nm2932166/,,
tt2210847,Napoleon Agra,1978,,,"Action, Biography",,Add a Plot,Jose Yandoc,/name/nm0945915/,"Ramon Revilla, 
Susan Valdez-LeGoff, 
Rez Cortez, 
Nick Romano","/name/nm0720898/,/name/nm1119915/,/name/nm0181397/,/name/nm1349031/",,
tt0466880,Ang lihim ng Golden Buddha,1989,,,"Action, Biography",6.8,THIS DRAMATIC EXPOSE FEATURES THE TESTIMONY OF ROGELIO ROXAS WHO RISKED HIS TO REVEAL THE SECRETS OF THE HIDDEN TREASURE WHICH ALLEGEDLY INVOLVED EX-PRESIDENT MARCOS.,Francis Posadas,/name/nm1217651/,"Jestoni Alarcon, 
Gretchen Barretto, 
Ruben Rustia, 
Armida Siguion-Reyna","/name/nm1243950/,/name/nm1291071/,/name/nm0751834/,/name/nm0797569/",10.0,
tt10139558,Too Numb to Lie Down,,,,"Action, Adventure, Biography",,A young Marine serves 13 months when with just 3 days to go a General tells him he doesn't know why they are there.,Richard Greenwood Jr.,/name/nm1431611/,"Victor Onuigbo, 
Kirk Taylor, 
Doug Haverty","/name/nm6453476/,/name/nm0852722/,/name/nm10617620/",,
tt3145314,Super Task Force One,2013,,69 min,"Action, Adventure, Biography",6.0,"15 years ago, the Super Task Force Six were shut down in secret by The evil Emperor Zagel. Since then, he has been working on a super weapon powered by all six armors. A former Enforcer smuggles a super suit to an unprepared Jason!",Steve Rudzinski,/name/nm2324123/,"Dan Christmas, 
David J. Fielding, 
John Gillen, 
Seth Gontkovic","/name/nm5293424/,/name/nm0276126/,/name/nm3133188/,/name/nm5298390/",52.0,
tt0477163,Diego Silang,1951,,,"Action, Biography",,Add a Plot,Gerardo de Leon,/name/nm0502479/,"Jose Padilla Jr., 
Leila Morena, 
Nena Cardenas, 
Lopito","/name/nm1035862/,/name/nm1919789/,/name/nm1348324/,/name/nm1398478/",,
tt5818312,Power and Fire,,,55 min,"Action, Adventure, Biography",,"In the medieval times, the Middle Kingdom Empire or HAN Empire in the East of Eurasia felt apart into civil war and faced the barbarians invasion from the West front for several decades ...                See full summary »",,,,,,
tt4789906,An Invisible Army,,,,"Action, Biography",,"The true story of Cindy Morgan, a single mother who when faced with losing custody of her kids, takes a high paying but dangerous job as a civilian truck driver for a government contractor in Iraq.",Éva Gárdos,/name/nm0307147/,,,,
tt0961756,Ulo ng gang-ho,1985,,,"Action, Biography",,"A BIOFLICK TAKES AS SUBJECT THE LIFE STORY OF VIYONG, A NOTORIOUS POLICE CHARACTER FROM BALIC-BALIC, SAMALOC IN THE 1960S.",Willy Milan,/name/nm0586798/,"Dante Varona, 
Anthony Alonzo, 
Rhene Imperial, 
Rey Malonzo","/name/nm0890159/,/name/nm0022300/,/name/nm1406886/,/name/nm0455181/",,
